ae train,ae test,ae mel,ae perc,ae kld,beta,lr
1.6633781,1.6583527,0.09006005,0.56111187,2.3632276,0.015000000000000001,9.985600000000001e-06
1.668894,1.6776785,0.09036657,0.56180966,2.307211,0.016666666666666666,9.985600000000001e-06
1.674985,1.6773431,0.09070745,0.5627344,2.2571154,0.018333333333333333,9.985600000000001e-06
1.680609,1.6872741,0.09100661,0.5635516,2.2106779,0.020000000000000004,9.985600000000001e-06
1.6863762,1.682721,0.09133445,0.5644275,2.1679003,0.021666666666666667,9.985600000000001e-06
1.6918919,1.6950626,0.09166012,0.5652334,2.1282086,0.023333333333333334,9.985600000000001e-06
1.6975733,1.708956,0.09199169,0.56612474,2.091286,0.025,9.985600000000001e-06
1.7027888,1.7031345,0.09230673,0.5668732,2.0564666,0.02666666666666667,9.985600000000001e-06
1.7088072,1.7119137,0.09264948,0.5679363,2.023866,0.028333333333333335,9.985600000000001e-06
1.7141687,1.7254019,0.09297974,0.5687721,1.9929713,0.030000000000000002,9.985600000000001e-06
1.7194505,1.719753,0.09329682,0.5696126,1.963479,0.03166666666666667,9.985600000000001e-06
1.7247428,1.7252817,0.09363774,0.5704487,1.9357933,0.03333333333333333,9.985600000000001e-06
1.7299733,1.7321259,0.09395798,0.57130265,1.9091927,0.035,9.985600000000001e-06
1.7354485,1.7335178,0.09428814,0.57226264,1.8837658,0.03666666666666667,9.985600000000001e-06
1.7404872,1.7533334,0.09462153,0.57306385,1.8593167,0.03833333333333334,9.985600000000001e-06
1.7461264,1.7544519,0.09496997,0.5740991,1.8363391,0.04000000000000001,9.985600000000001e-06
1.750839,1.7550882,0.095284656,0.57482576,1.8135134,0.041666666666666664,9.985600000000001e-06
1.7560511,1.7654546,0.09562077,0.57573664,1.7921003,0.043333333333333335,9.985600000000001e-06
1.7610415,1.7674026,0.095952086,0.5765773,1.7715132,0.045000000000000005,9.985600000000001e-06
1.7660092,1.7640928,0.09629563,0.57741755,1.7512784,0.04666666666666667,9.985600000000001e-06
1.7714622,1.7834936,0.096636295,0.5784622,1.732052,0.04833333333333334,9.985600000000001e-06
1.7744484,1.7768594,0.09679676,0.57870054,1.7141025,0.05,3.1554496000000007e-06
1.7795794,1.7833418,0.09715232,0.57960373,1.6972135,0.051666666666666666,3.1554496000000007e-06
1.7846565,1.7817703,0.0974952,0.580504,1.6810969,0.05333333333333334,3.1554496000000007e-06
1.7891135,1.7974988,0.0978177,0.58121175,1.6643633,0.05500000000000001,3.1554496000000007e-06
1.7943301,1.8018365,0.0981703,0.5821982,1.6483872,0.05666666666666667,3.1554496000000007e-06
1.7991184,1.8025427,0.09850768,0.5830303,1.6332598,0.058333333333333334,3.1554496000000007e-06
1.804271,1.8082769,0.09883664,0.5840386,1.6180446,0.060000000000000005,3.1554496000000007e-06
1.8088748,1.8156986,0.09918674,0.5848124,1.6034104,0.06166666666666667,3.1554496000000007e-06
1.8138067,1.8135947,0.09952572,0.58573353,1.5893432,0.06333333333333334,3.1554496000000007e-06
1.8187134,1.825354,0.09987414,0.5866521,1.5753498,0.065,3.1554496000000007e-06
1.8232641,1.8270444,0.100199,0.5874666,1.5615007,0.06666666666666667,3.1554496000000007e-06
1.8280603,1.8323429,0.10054549,0.58835787,1.5483173,0.06833333333333334,3.1554496000000007e-06
1.8326873,1.8384705,0.10087096,0.58922726,1.534884,0.07,3.1554496000000007e-06
1.8376048,1.8403289,0.1012384,0.59015036,1.5227835,0.07166666666666667,3.1554496000000007e-06
1.8421817,1.841995,0.10160517,0.5909608,1.5104581,0.07333333333333333,3.1554496000000007e-06
1.8470821,1.848285,0.10191482,0.5919838,1.4978073,0.075,3.1554496000000007e-06
1.8515885,1.8509817,0.102257885,0.59281015,1.4858918,0.07666666666666667,3.1554496000000007e-06
1.8560218,1.8524258,0.10258587,0.59363866,1.4739634,0.07833333333333334,3.1554496000000007e-06
1.8605843,1.8642242,0.102942586,0.59447867,1.4628887,0.08000000000000002,3.1554496000000007e-06
1.8653682,1.8604107,0.10327807,0.5954591,1.4513305,0.08166666666666668,3.1554496000000007e-06
1.8700286,1.8698298,0.10361518,0.5963889,1.4402238,0.08333333333333333,3.1554496000000007e-06
1.874069,1.8740631,0.10396334,0.5970683,1.4292914,0.085,3.1554496000000007e-06
1.8787055,1.8854779,0.1042913,0.5980088,1.4187131,0.08666666666666667,3.1554496000000007e-06
