ae train,ae test,ae mel,ae perc,ae kld,beta,lr
1.9213511,1.9217492,0.07056831,0.6563784,1.6862328,0.06166666666666667,3.1554496000000007e-06
1.9256063,1.9265927,0.07090636,0.6569893,1.6715844,0.06333333333333334,3.1554496000000007e-06
1.9300181,1.933502,0.07120338,0.6577151,1.6572578,0.065,3.1554496000000007e-06
1.9346031,1.9343383,0.07156741,0.6584517,1.6433342,0.06666666666666667,3.1554496000000007e-06
1.9383397,1.9412891,0.07193461,0.65885127,1.6298816,0.06833333333333334,3.1554496000000007e-06
1.942951,1.945333,0.07225389,0.6596639,1.6165221,0.07,3.1554496000000007e-06
1.9471542,1.9498522,0.07259939,0.6602947,1.6035163,0.07166666666666667,3.1554496000000007e-06
1.9520023,1.9512738,0.07293991,0.66120017,1.5907105,0.07333333333333333,3.1554496000000007e-06
1.9558783,1.9566839,0.07331871,0.6616799,1.578425,0.075,3.1554496000000007e-06
1.9596285,1.9619254,0.073618524,0.6622014,1.5662438,0.07666666666666667,3.1554496000000007e-06
1.9643295,1.964415,0.0739147,0.6631309,1.553814,0.07833333333333334,3.1554496000000007e-06
1.968463,1.9685099,0.074317075,0.6637117,1.5423881,0.08000000000000002,3.1554496000000007e-06
1.9725031,1.9743543,0.07465244,0.6643326,1.5311077,0.08166666666666668,3.1554496000000007e-06
1.9767632,1.9800532,0.07498547,0.665072,1.519434,0.08333333333333333,3.1554496000000007e-06
1.980716,1.9804842,0.07533065,0.66566825,1.5084589,0.085,3.1554496000000007e-06
1.9858447,1.9870065,0.07571629,0.6666954,1.4978694,0.08666666666666667,3.1554496000000007e-06
1.9894273,1.9900534,0.076031044,0.6671938,1.4871548,0.08833333333333335,3.1554496000000007e-06
1.9934877,1.9919213,0.07638127,0.6678527,1.4766976,0.09000000000000001,3.1554496000000007e-06
1.9970772,1.9983567,0.07665763,0.6684276,1.4657903,0.09166666666666666,3.1554496000000007e-06
2.0007737,2.0028963,0.0770131,0.6689476,1.455773,0.09333333333333334,3.1554496000000007e-06
2.005837,2.0071,0.077415064,0.6699597,1.4463146,0.095,3.1554496000000007e-06
2.009559,2.0132146,0.07773358,0.6705529,1.4363023,0.09666666666666668,3.1554496000000007e-06
2.0137181,2.016121,0.07808851,0.6712708,1.4269817,0.09833333333333334,3.1554496000000007e-06
